"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","Create User: example.com","LMS service","Wed Oct 22 10:08:02 GMT 2025","passed","Wed Oct 22 10:08:02 GMT 2025","Create entity","Users","",""
"","48","Create File","LMS service","Wed Oct 22 10:07:59 GMT 2025","passed","Wed Oct 22 10:07:59 GMT 2025","Create entity","Files","",""
"","875","Create courses","LMS service","Wed Oct 22 10:07:56 GMT 2025","passed","Wed Oct 22 10:07:57 GMT 2025","Create entity","Courses","",""
"","608","Get course","LMS service","Wed Oct 22 10:07:56 GMT 2025","passed","Wed Oct 22 10:07:56 GMT 2025","Get entity","Courses","",""
"","57","Delete Exercise","LMS service","Wed Oct 22 10:07:59 GMT 2025","passed","Wed Oct 22 10:07:59 GMT 2025","Delete entity","Exercises","",""
"","841","Get Exercises","LMS service","Wed Oct 22 10:07:56 GMT 2025","passed","Wed Oct 22 10:07:57 GMT 2025","Get entities","Exercises","",""
"","45","Create Exercise","LMS service","Wed Oct 22 10:07:56 GMT 2025","passed","Wed Oct 22 10:07:56 GMT 2025","Create entity","Exercises","",""
"","265","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 10:08:02 GMT 2025","passed","Wed Oct 22 10:08:02 GMT 2025","Get entity","Files","",""
"","312","Create User: mail.ru","LMS service","Wed Oct 22 10:07:59 GMT 2025","passed","Wed Oct 22 10:08:00 GMT 2025","Create entity","Users","",""
"","30","Get Exercise","LMS service","Wed Oct 22 10:07:59 GMT 2025","passed","Wed Oct 22 10:07:59 GMT 2025","Get entity","Exercises","",""
"","527","Login with correct email and pass","LMS service","Wed Oct 22 10:07:54 GMT 2025","passed","Wed Oct 22 10:07:55 GMT 2025","Login","Authentication","",""
"","536","Get File With Empty Directory","LMS service","Wed Oct 22 10:08:02 GMT 2025","passed","Wed Oct 22 10:08:02 GMT 2025","Validate entity","Files","",""
"","281","Create File With Empty Filename","LMS service","Wed Oct 22 10:08:02 GMT 2025","passed","Wed Oct 22 10:08:02 GMT 2025","Validate entity","Files","",""
"","580","Get File With deleted File ID","LMS service","Wed Oct 22 10:08:02 GMT 2025","passed","Wed Oct 22 10:08:02 GMT 2025","Validate entity","Files","",""
"","18","Get user me","LMS service","Wed Oct 22 10:08:03 GMT 2025","passed","Wed Oct 22 10:08:03 GMT 2025","Get entity","Users","",""
"","583","Update Exercise","LMS service","Wed Oct 22 10:07:56 GMT 2025","passed","Wed Oct 22 10:07:56 GMT 2025","Update entity","Exercises","",""
"","37","Get File","LMS service","Wed Oct 22 10:07:59 GMT 2025","passed","Wed Oct 22 10:07:59 GMT 2025","Get entity","Files","",""
"","75","Update course","LMS service","Wed Oct 22 10:07:59 GMT 2025","passed","Wed Oct 22 10:07:59 GMT 2025","Update entity","Courses","",""
"","1621","Create User: gmail.com","LMS service","Wed Oct 22 10:08:00 GMT 2025","passed","Wed Oct 22 10:08:01 GMT 2025","Create entity","Users","",""
