"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get user me","LMS service","Wed Oct 22 09:49:36 GMT 2025","passed","Wed Oct 22 09:49:36 GMT 2025","Get entity","Users","",""
"","826","Create File","LMS service","Wed Oct 22 09:49:31 GMT 2025","passed","Wed Oct 22 09:49:32 GMT 2025","Create entity","Files","",""
"","30","Get File With Empty Directory","LMS service","Wed Oct 22 09:49:36 GMT 2025","passed","Wed Oct 22 09:49:36 GMT 2025","Validate entity","Files","",""
"","26","Get File With deleted File ID","LMS service","Wed Oct 22 09:49:36 GMT 2025","passed","Wed Oct 22 09:49:36 GMT 2025","Validate entity","Files","",""
"","64","Update Exercise","LMS service","Wed Oct 22 09:49:29 GMT 2025","passed","Wed Oct 22 09:49:29 GMT 2025","Update entity","Exercises","",""
"","49","Get Exercise","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:33 GMT 2025","Get entity","Exercises","",""
"","74","Create Exercise","LMS service","Wed Oct 22 09:49:29 GMT 2025","passed","Wed Oct 22 09:49:29 GMT 2025","Create entity","Exercises","",""
"","541","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 09:49:36 GMT 2025","passed","Wed Oct 22 09:49:36 GMT 2025","Get entity","Files","",""
"","535","Login with correct email and pass","LMS service","Wed Oct 22 09:49:28 GMT 2025","passed","Wed Oct 22 09:49:29 GMT 2025","Login","Authentication","",""
"","45","Delete Exercise","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:33 GMT 2025","Delete entity","Exercises","",""
"","328","Get Exercises","LMS service","Wed Oct 22 09:49:29 GMT 2025","passed","Wed Oct 22 09:49:29 GMT 2025","Get entities","Exercises","",""
"","547","Create User: mail.ru","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:33 GMT 2025","Create entity","Users","",""
"","1647","Create User: gmail.com","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:35 GMT 2025","Create entity","Users","",""
"","348","Get course","LMS service","Wed Oct 22 09:49:29 GMT 2025","passed","Wed Oct 22 09:49:29 GMT 2025","Get entity","Courses","",""
"","290","Create File With Empty Filename","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:33 GMT 2025","Validate entity","Files","",""
"","348","Update course","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:33 GMT 2025","Update entity","Courses","",""
"","305","Create User: example.com","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:34 GMT 2025","Create entity","Users","",""
"","33","Create courses","LMS service","Wed Oct 22 09:49:31 GMT 2025","passed","Wed Oct 22 09:49:31 GMT 2025","Create entity","Courses","",""
"","33","Get File","LMS service","Wed Oct 22 09:49:33 GMT 2025","passed","Wed Oct 22 09:49:33 GMT 2025","Get entity","Files","",""
