"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Get course","LMS service","Wed Oct 22 08:36:55 GMT 2025","passed","Wed Oct 22 08:36:55 GMT 2025","Get entity","Courses","",""
"","541","Create File With Empty Filename","LMS service","Wed Oct 22 08:37:00 GMT 2025","passed","Wed Oct 22 08:37:01 GMT 2025","Validate entity","Files","",""
"","42","Get Exercise","LMS service","Wed Oct 22 08:36:58 GMT 2025","passed","Wed Oct 22 08:36:58 GMT 2025","Get entity","Exercises","",""
"","75","Create courses","LMS service","Wed Oct 22 08:36:55 GMT 2025","passed","Wed Oct 22 08:36:55 GMT 2025","Create entity","Courses","",""
"","31","Get File With deleted File ID","LMS service","Wed Oct 22 08:37:01 GMT 2025","passed","Wed Oct 22 08:37:01 GMT 2025","Validate entity","Files","",""
"","273","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 08:37:01 GMT 2025","passed","Wed Oct 22 08:37:01 GMT 2025","Get entity","Files","",""
"","1617","Create User: gmail.com","LMS service","Wed Oct 22 08:36:59 GMT 2025","passed","Wed Oct 22 08:37:00 GMT 2025","Create entity","Users","",""
"","290","Login with correct email and pass","LMS service","Wed Oct 22 08:36:53 GMT 2025","passed","Wed Oct 22 08:36:53 GMT 2025","Login","Authentication","",""
"","570","Create User: mail.ru","LMS service","Wed Oct 22 08:36:58 GMT 2025","passed","Wed Oct 22 08:36:59 GMT 2025","Create entity","Users","",""
"","55","Delete Exercise","LMS service","Wed Oct 22 08:36:58 GMT 2025","passed","Wed Oct 22 08:36:58 GMT 2025","Delete entity","Exercises","",""
"","531","Create User: example.com","LMS service","Wed Oct 22 08:37:01 GMT 2025","passed","Wed Oct 22 08:37:02 GMT 2025","Create entity","Users","",""
"","57","Update course","LMS service","Wed Oct 22 08:36:58 GMT 2025","passed","Wed Oct 22 08:36:58 GMT 2025","Update entity","Courses","",""
"","52","Create Exercise","LMS service","Wed Oct 22 08:36:55 GMT 2025","passed","Wed Oct 22 08:36:55 GMT 2025","Create entity","Exercises","",""
"","11","Get user me","LMS service","Wed Oct 22 08:37:02 GMT 2025","passed","Wed Oct 22 08:37:02 GMT 2025","Get entity","Users","",""
"","43","Create File","LMS service","Wed Oct 22 08:36:58 GMT 2025","passed","Wed Oct 22 08:36:58 GMT 2025","Create entity","Files","",""
"","41","Get Exercises","LMS service","Wed Oct 22 08:36:55 GMT 2025","passed","Wed Oct 22 08:36:55 GMT 2025","Get entities","Exercises","",""
"","66","Update Exercise","LMS service","Wed Oct 22 08:36:55 GMT 2025","passed","Wed Oct 22 08:36:55 GMT 2025","Update entity","Exercises","",""
"","27","Get File With Empty Directory","LMS service","Wed Oct 22 08:37:01 GMT 2025","passed","Wed Oct 22 08:37:01 GMT 2025","Validate entity","Files","",""
"","37","Get File","LMS service","Wed Oct 22 08:36:58 GMT 2025","passed","Wed Oct 22 08:36:58 GMT 2025","Get entity","Files","",""
