"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create File","LMS service","Tue Oct 21 10:20:49 GMT 2025","passed","Tue Oct 21 10:20:50 GMT 2025","Create entity","Files","",""
"","28","Get course","LMS service","Tue Oct 21 10:20:45 GMT 2025","passed","Tue Oct 21 10:20:45 GMT 2025","Get entity","Courses","",""
"","265","test_get_file_with_incorrect_file_id","LMS service","Tue Oct 21 10:20:52 GMT 2025","passed","Tue Oct 21 10:20:53 GMT 2025","Get entity","Files","",""
"","525","Create User: mail.ru","LMS service","Tue Oct 21 10:20:52 GMT 2025","passed","Tue Oct 21 10:20:53 GMT 2025","Create entity","Users","",""
"","21","Create Exercise","LMS service","Tue Oct 21 10:20:47 GMT 2025","passed","Tue Oct 21 10:20:47 GMT 2025","Create entity","Exercises","",""
"","289","Delete Exercise","LMS service","Tue Oct 21 10:20:48 GMT 2025","passed","Tue Oct 21 10:20:49 GMT 2025","Delete entity","Exercises","",""
"","290","Update Exercise","LMS service","Tue Oct 21 10:20:47 GMT 2025","passed","Tue Oct 21 10:20:48 GMT 2025","Update entity","Exercises","",""
"","291","Create User: example.com","LMS service","Tue Oct 21 10:20:53 GMT 2025","passed","Tue Oct 21 10:20:53 GMT 2025","Create entity","Users","",""
"","266","Get File With Empty Directory","LMS service","Tue Oct 21 10:20:51 GMT 2025","passed","Tue Oct 21 10:20:51 GMT 2025","Validate entity","Files","",""
"","17","Get Exercises","LMS service","Tue Oct 21 10:20:49 GMT 2025","passed","Tue Oct 21 10:20:49 GMT 2025","Get entities","Exercises","",""
"","562","Create User: gmail.com","LMS service","Tue Oct 21 10:20:53 GMT 2025","passed","Tue Oct 21 10:20:53 GMT 2025","Create entity","Users","",""
"","36","Update course","LMS service","Tue Oct 21 10:20:46 GMT 2025","passed","Tue Oct 21 10:20:46 GMT 2025","Update entity","Courses","",""
"","21","Get File With deleted File ID","LMS service","Tue Oct 21 10:20:52 GMT 2025","passed","Tue Oct 21 10:20:52 GMT 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Tue Oct 21 10:20:54 GMT 2025","passed","Tue Oct 21 10:20:54 GMT 2025","Get entity","Users","",""
"","15","Get File","LMS service","Tue Oct 21 10:20:50 GMT 2025","passed","Tue Oct 21 10:20:50 GMT 2025","Get entity","Files","",""
"","26","Create courses","LMS service","Tue Oct 21 10:20:46 GMT 2025","passed","Tue Oct 21 10:20:46 GMT 2025","Create entity","Courses","",""
"","285","Login with correct email and pass","LMS service","Tue Oct 21 10:20:44 GMT 2025","passed","Tue Oct 21 10:20:44 GMT 2025","Login","Authentication","",""
"","265","Create File With Empty Filename","LMS service","Tue Oct 21 10:20:51 GMT 2025","passed","Tue Oct 21 10:20:51 GMT 2025","Validate entity","Files","",""
"","284","Get Exercise","LMS service","Tue Oct 21 10:20:48 GMT 2025","passed","Tue Oct 21 10:20:48 GMT 2025","Get entity","Exercises","",""
