"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","Create Exercise","LMS service","Wed Oct 22 15:00:20 GMT 2025","passed","Wed Oct 22 15:00:21 GMT 2025","Create entity","Exercises","",""
"","870","Update course","LMS service","Wed Oct 22 15:00:24 GMT 2025","passed","Wed Oct 22 15:00:25 GMT 2025","Update entity","Courses","",""
"","1342","Create User: mail.ru","LMS service","Wed Oct 22 15:00:25 GMT 2025","passed","Wed Oct 22 15:00:26 GMT 2025","Create entity","Users","",""
"","22","Get File With deleted File ID","LMS service","Wed Oct 22 15:00:27 GMT 2025","passed","Wed Oct 22 15:00:27 GMT 2025","Validate entity","Files","",""
"","1115","Get Exercises","LMS service","Wed Oct 22 15:00:22 GMT 2025","passed","Wed Oct 22 15:00:23 GMT 2025","Get entities","Exercises","",""
"","864","Delete Exercise","LMS service","Wed Oct 22 15:00:24 GMT 2025","passed","Wed Oct 22 15:00:25 GMT 2025","Delete entity","Exercises","",""
"","1080","Create File With Empty Filename","LMS service","Wed Oct 22 15:00:25 GMT 2025","passed","Wed Oct 22 15:00:26 GMT 2025","Validate entity","Files","",""
"","571","Get Exercise","LMS service","Wed Oct 22 15:00:23 GMT 2025","passed","Wed Oct 22 15:00:24 GMT 2025","Get entity","Exercises","",""
"","35","Get File","LMS service","Wed Oct 22 15:00:24 GMT 2025","passed","Wed Oct 22 15:00:24 GMT 2025","Get entity","Files","",""
"","1091","Create User: gmail.com","LMS service","Wed Oct 22 15:00:26 GMT 2025","passed","Wed Oct 22 15:00:27 GMT 2025","Create entity","Users","",""
"","539","Login with correct email and pass","LMS service","Wed Oct 22 15:00:20 GMT 2025","passed","Wed Oct 22 15:00:20 GMT 2025","Login","Authentication","",""
"","22","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 15:00:26 GMT 2025","passed","Wed Oct 22 15:00:26 GMT 2025","Get entity","Files","",""
"","32","Update Exercise","LMS service","Wed Oct 22 15:00:21 GMT 2025","passed","Wed Oct 22 15:00:21 GMT 2025","Update entity","Exercises","",""
"","40","Create courses","LMS service","Wed Oct 22 15:00:22 GMT 2025","passed","Wed Oct 22 15:00:22 GMT 2025","Create entity","Courses","",""
"","16","Get user me","LMS service","Wed Oct 22 15:00:28 GMT 2025","passed","Wed Oct 22 15:00:28 GMT 2025","Get entity","Users","",""
"","802","Get File With Empty Directory","LMS service","Wed Oct 22 15:00:26 GMT 2025","passed","Wed Oct 22 15:00:27 GMT 2025","Validate entity","Files","",""
"","567","Create File","LMS service","Wed Oct 22 15:00:24 GMT 2025","passed","Wed Oct 22 15:00:25 GMT 2025","Create entity","Files","",""
"","342","Get course","LMS service","Wed Oct 22 15:00:20 GMT 2025","passed","Wed Oct 22 15:00:21 GMT 2025","Get entity","Courses","",""
"","786","Create User: example.com","LMS service","Wed Oct 22 15:00:26 GMT 2025","passed","Wed Oct 22 15:00:27 GMT 2025","Create entity","Users","",""
