"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","Create courses","LMS service","Wed Oct 22 10:40:22 GMT 2025","passed","Wed Oct 22 10:40:23 GMT 2025","Create entity","Courses","",""
"","62","Delete Exercise","LMS service","Wed Oct 22 10:40:22 GMT 2025","passed","Wed Oct 22 10:40:23 GMT 2025","Delete entity","Exercises","",""
"","36","Get Exercise","LMS service","Wed Oct 22 10:40:22 GMT 2025","passed","Wed Oct 22 10:40:22 GMT 2025","Get entity","Exercises","",""
"","536","Create File With Empty Filename","LMS service","Wed Oct 22 10:40:24 GMT 2025","passed","Wed Oct 22 10:40:25 GMT 2025","Validate entity","Files","",""
"","61","Update course","LMS service","Wed Oct 22 10:40:22 GMT 2025","passed","Wed Oct 22 10:40:23 GMT 2025","Update entity","Courses","",""
"","1081","Create User: mail.ru","LMS service","Wed Oct 22 10:40:25 GMT 2025","passed","Wed Oct 22 10:40:26 GMT 2025","Create entity","Users","",""
"","46","Create File","LMS service","Wed Oct 22 10:40:22 GMT 2025","passed","Wed Oct 22 10:40:22 GMT 2025","Create entity","Files","",""
"","536","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 10:40:24 GMT 2025","passed","Wed Oct 22 10:40:25 GMT 2025","Get entity","Files","",""
"","305","Login with correct email and pass","LMS service","Wed Oct 22 10:40:19 GMT 2025","passed","Wed Oct 22 10:40:20 GMT 2025","Login","Authentication","",""
"","18","Get user me","LMS service","Wed Oct 22 10:40:27 GMT 2025","passed","Wed Oct 22 10:40:27 GMT 2025","Get entity","Users","",""
"","807","Create User: gmail.com","LMS service","Wed Oct 22 10:40:25 GMT 2025","passed","Wed Oct 22 10:40:26 GMT 2025","Create entity","Users","",""
"","825","Get File With Empty Directory","LMS service","Wed Oct 22 10:40:25 GMT 2025","passed","Wed Oct 22 10:40:26 GMT 2025","Validate entity","Files","",""
"","23","Get File","LMS service","Wed Oct 22 10:40:26 GMT 2025","passed","Wed Oct 22 10:40:26 GMT 2025","Get entity","Files","",""
"","581","Get Exercises","LMS service","Wed Oct 22 10:40:20 GMT 2025","passed","Wed Oct 22 10:40:21 GMT 2025","Get entities","Exercises","",""
"","322","Create Exercise","LMS service","Wed Oct 22 10:40:19 GMT 2025","passed","Wed Oct 22 10:40:20 GMT 2025","Create entity","Exercises","",""
"","47","Update Exercise","LMS service","Wed Oct 22 10:40:20 GMT 2025","passed","Wed Oct 22 10:40:20 GMT 2025","Update entity","Exercises","",""
"","337","Get File With deleted File ID","LMS service","Wed Oct 22 10:40:26 GMT 2025","passed","Wed Oct 22 10:40:26 GMT 2025","Validate entity","Files","",""
"","481","Create User: example.com","LMS service","Wed Oct 22 10:40:26 GMT 2025","passed","Wed Oct 22 10:40:26 GMT 2025","Create entity","Users","",""
"","868","Get course","LMS service","Wed Oct 22 10:40:20 GMT 2025","passed","Wed Oct 22 10:40:20 GMT 2025","Get entity","Courses","",""
