"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get Exercises","LMS service","Tue Oct 21 09:07:32 GMT 2025","broken","Tue Oct 21 09:07:32 GMT 2025","Get entities","Exercises","",""
"","556","Create User: gmail.com","LMS service","Tue Oct 21 09:07:37 GMT 2025","passed","Tue Oct 21 09:07:38 GMT 2025","Create entity","Users","",""
"","553","Login with correct email and pass","LMS service","Tue Oct 21 09:07:29 GMT 2025","passed","Tue Oct 21 09:07:29 GMT 2025","Login","Authentication","",""
"","0","Get File With deleted File ID","LMS service","Tue Oct 21 09:07:35 GMT 2025","broken","Tue Oct 21 09:07:35 GMT 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Tue Oct 21 09:07:38 GMT 2025","passed","Tue Oct 21 09:07:38 GMT 2025","Get entity","Users","",""
"","0","Create Exercise","LMS service","Tue Oct 21 09:07:30 GMT 2025","broken","Tue Oct 21 09:07:30 GMT 2025","Create entity","Exercises","",""
"","0","Create File","LMS service","Tue Oct 21 09:07:34 GMT 2025","broken","Tue Oct 21 09:07:34 GMT 2025","Create entity","Files","",""
"","504","Create User: mail.ru","LMS service","Tue Oct 21 09:07:36 GMT 2025","passed","Tue Oct 21 09:07:37 GMT 2025","Create entity","Users","",""
"","0","Create courses","LMS service","Tue Oct 21 09:07:29 GMT 2025","broken","Tue Oct 21 09:07:29 GMT 2025","Create entity","Courses","",""
"","0","Create File With Empty Filename","LMS service","Tue Oct 21 09:07:35 GMT 2025","broken","Tue Oct 21 09:07:35 GMT 2025","Validate entity","Files","",""
"","528","Create User: example.com","LMS service","Tue Oct 21 09:07:37 GMT 2025","passed","Tue Oct 21 09:07:37 GMT 2025","Create entity","Users","",""
"","0","Get File With Empty Directory","LMS service","Tue Oct 21 09:07:36 GMT 2025","broken","Tue Oct 21 09:07:36 GMT 2025","Validate entity","Files","",""
"","0","Get Exercise","LMS service","Tue Oct 21 09:07:31 GMT 2025","broken","Tue Oct 21 09:07:31 GMT 2025","Get entity","Exercises","",""
"","0","Get course","LMS service","Tue Oct 21 09:07:28 GMT 2025","broken","Tue Oct 21 09:07:28 GMT 2025","Get entity","Courses","",""
"","0","Get File","LMS service","Tue Oct 21 09:07:34 GMT 2025","broken","Tue Oct 21 09:07:34 GMT 2025","Get entity","Files","",""
"","262","test_get_file_with_incorrect_file_id","LMS service","Tue Oct 21 09:07:37 GMT 2025","passed","Tue Oct 21 09:07:37 GMT 2025","Get entity","Files","",""
"","0","Delete Exercise","LMS service","Tue Oct 21 09:07:32 GMT 2025","broken","Tue Oct 21 09:07:32 GMT 2025","Delete entity","Exercises","",""
"","0","Update Exercise","LMS service","Tue Oct 21 09:07:31 GMT 2025","broken","Tue Oct 21 09:07:31 GMT 2025","Update entity","Exercises","",""
"","0","Update course","LMS service","Tue Oct 21 09:07:29 GMT 2025","broken","Tue Oct 21 09:07:29 GMT 2025","Update entity","Courses","",""
