"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","519","Create User: gmail.com","LMS service","Wed Oct 22 10:45:00 GMT 2025","passed","Wed Oct 22 10:45:00 GMT 2025","Create entity","Users","",""
"","50","Create courses","LMS service","Wed Oct 22 10:44:55 GMT 2025","passed","Wed Oct 22 10:44:55 GMT 2025","Create entity","Courses","",""
"","841","Create User: mail.ru","LMS service","Wed Oct 22 10:44:57 GMT 2025","passed","Wed Oct 22 10:44:58 GMT 2025","Create entity","Users","",""
"","802","Get File With Empty Directory","LMS service","Wed Oct 22 10:44:59 GMT 2025","passed","Wed Oct 22 10:45:00 GMT 2025","Validate entity","Files","",""
"","268","Create File With Empty Filename","LMS service","Wed Oct 22 10:45:00 GMT 2025","passed","Wed Oct 22 10:45:00 GMT 2025","Validate entity","Files","",""
"","56","Delete Exercise","LMS service","Wed Oct 22 10:44:57 GMT 2025","passed","Wed Oct 22 10:44:57 GMT 2025","Delete entity","Exercises","",""
"","41","Get Exercise","LMS service","Wed Oct 22 10:44:57 GMT 2025","passed","Wed Oct 22 10:44:57 GMT 2025","Get entity","Exercises","",""
"","39","Create File","LMS service","Wed Oct 22 10:44:57 GMT 2025","passed","Wed Oct 22 10:44:57 GMT 2025","Create entity","Files","",""
"","796","Login with correct email and pass","LMS service","Wed Oct 22 10:44:52 GMT 2025","passed","Wed Oct 22 10:44:53 GMT 2025","Login","Authentication","",""
"","56","Get course","LMS service","Wed Oct 22 10:44:54 GMT 2025","passed","Wed Oct 22 10:44:54 GMT 2025","Get entity","Courses","",""
"","345","Update course","LMS service","Wed Oct 22 10:44:57 GMT 2025","passed","Wed Oct 22 10:44:57 GMT 2025","Update entity","Courses","",""
"","246","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 10:45:00 GMT 2025","passed","Wed Oct 22 10:45:00 GMT 2025","Get entity","Files","",""
"","49","Create Exercise","LMS service","Wed Oct 22 10:44:54 GMT 2025","passed","Wed Oct 22 10:44:54 GMT 2025","Create entity","Exercises","",""
"","35","Get Exercises","LMS service","Wed Oct 22 10:44:55 GMT 2025","passed","Wed Oct 22 10:44:55 GMT 2025","Get entities","Exercises","",""
"","17","Get user me","LMS service","Wed Oct 22 10:45:01 GMT 2025","passed","Wed Oct 22 10:45:01 GMT 2025","Get entity","Users","",""
"","1078","Create User: example.com","LMS service","Wed Oct 22 10:44:58 GMT 2025","passed","Wed Oct 22 10:44:59 GMT 2025","Create entity","Users","",""
"","40","Get File","LMS service","Wed Oct 22 10:44:57 GMT 2025","passed","Wed Oct 22 10:44:57 GMT 2025","Get entity","Files","",""
"","27","Get File With deleted File ID","LMS service","Wed Oct 22 10:45:00 GMT 2025","passed","Wed Oct 22 10:45:00 GMT 2025","Validate entity","Files","",""
"","36","Update Exercise","LMS service","Wed Oct 22 10:44:55 GMT 2025","passed","Wed Oct 22 10:44:55 GMT 2025","Update entity","Exercises","",""
