"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1073","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:53 GMT 2025","Get entity","Files","",""
"","14","Get user me","LMS service","Wed Oct 22 08:40:54 GMT 2025","passed","Wed Oct 22 08:40:54 GMT 2025","Get entity","Users","",""
"","315","Get Exercises","LMS service","Wed Oct 22 08:40:47 GMT 2025","passed","Wed Oct 22 08:40:48 GMT 2025","Get entities","Exercises","",""
"","47","Update course","LMS service","Wed Oct 22 08:40:49 GMT 2025","passed","Wed Oct 22 08:40:49 GMT 2025","Update entity","Courses","",""
"","23","Get File With deleted File ID","LMS service","Wed Oct 22 08:40:54 GMT 2025","passed","Wed Oct 22 08:40:54 GMT 2025","Validate entity","Files","",""
"","33","Get File With Empty Directory","LMS service","Wed Oct 22 08:40:54 GMT 2025","passed","Wed Oct 22 08:40:54 GMT 2025","Validate entity","Files","",""
"","1364","Create User: gmail.com","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:53 GMT 2025","Create entity","Users","",""
"","574","Create Exercise","LMS service","Wed Oct 22 08:40:47 GMT 2025","passed","Wed Oct 22 08:40:48 GMT 2025","Create entity","Exercises","",""
"","795","Login with correct email and pass","LMS service","Wed Oct 22 08:40:46 GMT 2025","passed","Wed Oct 22 08:40:46 GMT 2025","Login","Authentication","",""
"","1320","Create User: mail.ru","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:53 GMT 2025","Create entity","Users","",""
"","35","Get File","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:51 GMT 2025","Get entity","Files","",""
"","27","Update Exercise","LMS service","Wed Oct 22 08:40:48 GMT 2025","passed","Wed Oct 22 08:40:48 GMT 2025","Update entity","Exercises","",""
"","1071","Create User: example.com","LMS service","Wed Oct 22 08:40:53 GMT 2025","passed","Wed Oct 22 08:40:54 GMT 2025","Create entity","Users","",""
"","304","Get Exercise","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:51 GMT 2025","Get entity","Exercises","",""
"","44","Get course","LMS service","Wed Oct 22 08:40:47 GMT 2025","passed","Wed Oct 22 08:40:47 GMT 2025","Get entity","Courses","",""
"","321","Delete Exercise","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:51 GMT 2025","Delete entity","Exercises","",""
"","560","Create File","LMS service","Wed Oct 22 08:40:50 GMT 2025","passed","Wed Oct 22 08:40:50 GMT 2025","Create entity","Files","",""
"","283","Create File With Empty Filename","LMS service","Wed Oct 22 08:40:51 GMT 2025","passed","Wed Oct 22 08:40:51 GMT 2025","Validate entity","Files","",""
"","62","Create courses","LMS service","Wed Oct 22 08:40:48 GMT 2025","passed","Wed Oct 22 08:40:48 GMT 2025","Create entity","Courses","",""
